id,animal,object
000233.png,elephant,cactus
000234.png,elephant,cactus
000235.png,elephant,cactus
000236.png,elephant,cactus
000237.png,elephant,cactus
000238.png,elephant,cactus
000239.png,dog,coffee cup
000240.png,dog,coffee cup
000241.png,dog,coffee cup
000242.png,dog,coffee cup
000243.png,dog,coffee cup
000244.png,dog,coffee cup
000245.png,dog,coffee cup
000246.png,dog,coffee cup
000247.png,dog,coffee cup
000248.png,dog,coffee cup
000249.png,dog,coffee cup
000250.png,elephant,coffee cup
000251.png,elephant,coffee cup
000252.png,elephant,coffee cup
000253.png,elephant,coffee cup
000254.png,elephant,coffee cup
000255.png,elephant,coffee cup
000256.png,elephant,coffee cup
000257.png,elephant,coffee cup
000258.png,elephant,coffee cup
000259.png,elephant,coffee cup
000260.png,elephant,coffee cup
000261.png,elephant,coffee cup
000262.png,elephant,coffee cup
000263.png,elephant,coffee cup
000264.png,elephant,coffee cup
000265.png,elephant,coffee cup
000266.png,elephant,coffee cup
000267.png,elephant,coffee cup
000268.png,elephant,coffee cup
000269.png,elephant,coffee cup
000270.png,elephant,coffee cup
000271.png,elephant,coffee cup
000272.png,elephant,coffee cup
000273.png,cat,airplane
000274.png,cat,airplane
000275.png,cat,airplane
000276.png,cat,airplane
000277.png,cat,airplane
000278.png,cat,airplane
000279.png,cat,airplane
000280.png,cat,airplane
000281.png,cat,airplane
000282.png,cat,airplane
000283.png,cat,airplane
000284.png,cat,airplane
000285.png,cat,airplane
000286.png,cat,airplane
000287.png,cat,airplane
000288.png,cat,airplane
000289.png,cat,airplane
000290.png,cat,airplane
000291.png,cat,airplane
000292.png,cat,airplane
000293.png,cat,airplane
000294.png,cat,airplane
000295.png,bird,coffee cup
000296.png,bird,coffee cup
000297.png,bird,coffee cup
000298.png,crocodile,sneaker
000299.png,crocodile,sneaker
000300.png,crocodile,sneaker
000301.png,crocodile,sneaker
000302.png,crocodile,sneaker
000303.png,crocodile,sneaker
000304.png,crocodile,sneaker
000305.png,crocodile,sneaker
000306.png,crocodile,sneaker
000307.png,crocodile,sneaker
000308.png,crocodile,sneaker
000309.png,crocodile,sneaker
000310.png,crocodile,sneaker
000311.png,crocodile,sneaker
000312.png,crocodile,sneaker
000313.png,crocodile,sneaker
000314.png,crocodile,sneaker
000315.png,crocodile,sneaker
000316.png,cat,coffee cup
000317.png,cat,coffee cup
000318.png,cat,coffee cup
000319.png,cat,coffee cup
000320.png,cat,coffee cup
000321.png,cat,coffee cup
000322.png,cat,coffee cup
000323.png,cat,coffee cup
000324.png,monkey,pizza
000325.png,monkey,pizza
000326.png,monkey,pizza
000327.png,monkey,pizza
000328.png,monkey,pizza
000329.png,monkey,pizza
000330.png,monkey,pizza
000331.png,monkey,pizza
000332.png,shark,car
000333.png,shark,car
000334.png,shark,car
000335.png,shark,car
000336.png,shark,car
000337.png,shark,car
000338.png,shark,car
000339.png,shark,car
000340.png,shark,car
000341.png,shark,car
000342.png,shark,car
000343.png,shark,car
000344.png,shark,car
000345.png,shark,car
000346.png,shark,car
000347.png,shark,car
000348.png,shark,car
000349.png,shark,car
000350.png,shark,car
000351.png,shark,car
000352.png,shark,car
000353.png,shark,car
000354.png,shark,car
000355.png,shark,car
000356.png,shark,car
000357.png,shark,car
000358.png,shark,car
000359.png,shark,car
000360.png,capybara,chair
000361.png,capybara,chair
000362.png,capybara,chair
000363.png,capybara,chair
000364.png,capybara,chair
000365.png,capybara,chair
000366.png,capybara,chair
000367.png,capybara,chair
000368.png,capybara,chair
000369.png,capybara,chair
000370.png,capybara,chair
000371.png,capybara,chair
000372.png,capybara,chair
000373.png,capybara,chair
000374.png,capybara,chair
000375.png,capybara,chair
000376.png,capybara,chair
000377.png,capybara,chair
000378.png,capybara,chair
000379.png,capybara,chair
000380.png,capybara,chair
000381.png,capybara,chair
000382.png,capybara,chair
000383.png,capybara,chair
000384.png,capybara,chair
000385.png,capybara,chair
000386.png,capybara,chair
000387.png,capybara,chair
000388.png,capybara,chair
000389.png,capybara,chair
000390.png,capybara,chair
000391.png,capybara,chair
000392.png,capybara,chair
000393.png,capybara,chair
000394.png,capybara,chair
000395.png,capybara,chair
000396.png,monkey,airplane
000397.png,monkey,airplane
000398.png,monkey,airplane
000399.png,monkey,airplane
000400.png,monkey,airplane
000401.png,monkey,airplane
000402.png,monkey,airplane
000403.png,monkey,airplane
000404.png,monkey,airplane
000405.png,monkey,airplane
000406.png,monkey,airplane
000407.png,monkey,airplane
000408.png,monkey,airplane
000409.png,monkey,airplane
000410.png,monkey,airplane
000411.png,monkey,airplane
000412.png,monkey,airplane
000413.png,monkey,airplane
000414.png,monkey,airplane
000415.png,monkey,airplane
000416.png,monkey,airplane
000417.png,monkey,airplane
000418.png,monkey,airplane
000419.png,shark,cactus
000420.png,shark,cactus
000421.png,shark,cactus
000422.png,shark,cactus
000423.png,shark,cactus
000424.png,shark,cactus
000425.png,shark,cactus
000426.png,shark,cactus
000427.png,shark,cactus
000428.png,shark,cactus
000429.png,shark,cactus
000430.png,shark,cactus
000431.png,shark,cactus
000432.png,shark,cactus
000433.png,shark,cactus
000434.png,shark,cactus
000435.png,shark,cactus
000436.png,shark,cactus
000437.png,shark,cactus
000438.png,shark,cactus
000439.png,shark,cactus
000440.png,shark,cactus
000441.png,shark,cactus
000442.png,shark,cactus
000443.png,shark,cactus
000444.png,shark,cactus
000445.png,shark,cactus
000446.png,shark,cactus
000447.png,shark,cactus
000448.png,shark,cactus
000449.png,frog,sneaker
000450.png,frog,sneaker
000451.png,frog,sneaker
000452.png,frog,sneaker
000453.png,frog,sneaker
000454.png,frog,sneaker
000455.png,frog,sneaker
000456.png,frog,sneaker
000457.png,frog,sneaker
000458.png,frog,sneaker
000459.png,frog,sneaker
000460.png,frog,sneaker
000461.png,frog,sneaker
000462.png,frog,sneaker
000463.png,frog,sneaker
000464.png,frog,sneaker
000465.png,frog,sneaker
000466.png,frog,sneaker
000467.png,frog,sneaker
000468.png,frog,sneaker
000469.png,frog,sneaker
000470.png,dog,airplane
000471.png,dog,airplane
000472.png,dog,airplane
000473.png,dog,airplane
000474.png,dog,airplane
000475.png,dog,airplane
000476.png,dog,airplane
000477.png,dog,airplane
000478.png,dog,airplane
000479.png,monkey,coffee cup
000480.png,monkey,coffee cup
000481.png,monkey,coffee cup
000482.png,monkey,coffee cup
000483.png,monkey,coffee cup
000484.png,monkey,coffee cup
000485.png,monkey,coffee cup
000486.png,monkey,coffee cup
000487.png,monkey,coffee cup
000488.png,monkey,coffee cup
000489.png,monkey,coffee cup
000490.png,monkey,coffee cup
000491.png,monkey,coffee cup
000492.png,monkey,coffee cup
000493.png,monkey,coffee cup
000494.png,monkey,coffee cup
000495.png,monkey,coffee cup
000496.png,monkey,coffee cup
000497.png,monkey,coffee cup
000498.png,monkey,coffee cup
000499.png,monkey,coffee cup
000500.png,monkey,coffee cup
000501.png,monkey,coffee cup
000502.png,monkey,coffee cup
000503.png,monkey,coffee cup
000504.png,monkey,coffee cup
000505.png,monkey,coffee cup
000506.png,cat,airplane
000507.png,cat,airplane
000508.png,cat,airplane
000509.png,cat,airplane
000510.png,cat,airplane
000511.png,cat,airplane
000512.png,cat,airplane
000513.png,cat,airplane
000514.png,cat,airplane
000515.png,cat,airplane
000516.png,cat,airplane
000517.png,cat,airplane
000518.png,cat,airplane
000519.png,cat,airplane
000520.png,cat,airplane
000521.png,cat,airplane
000522.png,cat,airplane
000523.png,cat,airplane
000524.png,cat,airplane
000525.png,cat,airplane
000526.png,cat,airplane
000527.png,cat,airplane
000528.png,cat,sneaker
000529.png,cat,sneaker
000530.png,cat,sneaker
000531.png,cat,sneaker
000532.png,cat,sneaker
000533.png,cat,sneaker
000534.png,cat,sneaker
000535.png,cat,sneaker
000536.png,cat,sneaker
000537.png,cat,sneaker
000538.png,cat,sneaker
000539.png,cat,sneaker
000540.png,monkey,sneaker
000541.png,monkey,sneaker
000542.png,monkey,sneaker
000543.png,monkey,sneaker
000544.png,monkey,sneaker
000545.png,monkey,sneaker
000546.png,monkey,sneaker
000547.png,monkey,sneaker
000548.png,monkey,sneaker
000549.png,monkey,sneaker
000550.png,monkey,sneaker
000551.png,monkey,sneaker
000552.png,monkey,sneaker
000553.png,monkey,sneaker
000554.png,monkey,sneaker
000555.png,monkey,sneaker
000556.png,monkey,sneaker
000557.png,monkey,sneaker
000558.png,monkey,sneaker
000559.png,monkey,sneaker
000560.png,monkey,sneaker
000561.png,monkey,sneaker
000562.png,monkey,sneaker
000563.png,monkey,sneaker
000564.png,monkey,sneaker
000565.png,monkey,sneaker
000566.png,monkey,sneaker
000567.png,monkey,sneaker
000568.png,monkey,sneaker
000569.png,monkey,sneaker
000570.png,monkey,sneaker
000571.png,monkey,sneaker
000572.png,monkey,sneaker
000573.png,monkey,sneaker
000574.png,monkey,sneaker
000575.png,monkey,sneaker
000576.png,monkey,sneaker
000577.png,bird,pizza
000578.png,bird,pizza
000579.png,bird,pizza
000580.png,bird,pizza
000581.png,bird,pizza
000582.png,bird,pizza
000583.png,bird,pizza
000584.png,bird,pizza
000585.png,bird,pizza
000586.png,bird,pizza
000587.png,bird,pizza
000588.png,bird,pizza
000589.png,bird,pizza
000590.png,bird,pizza
000591.png,bird,pizza
000592.png,bird,pizza
000593.png,bird,pizza
000594.png,bird,pizza
000595.png,bird,pizza
000596.png,bird,pizza
000597.png,bird,pizza
000598.png,bird,pizza
000599.png,bird,pizza
000600.png,bird,pizza
000601.png,bird,pizza
000602.png,bird,pizza
000603.png,bird,pizza
000604.png,crocodile,drum
000605.png,crocodile,drum
000606.png,crocodile,drum
000607.png,crocodile,drum
000608.png,monkey,car
000609.png,monkey,car
000610.png,monkey,car
000611.png,monkey,car
000612.png,monkey,car
000613.png,monkey,car
000614.png,monkey,car
000615.png,monkey,car
000616.png,monkey,car
000617.png,monkey,car
000618.png,capybara,airplane
000619.png,capybara,airplane
000620.png,capybara,airplane
000621.png,capybara,airplane
000622.png,capybara,airplane
000623.png,capybara,airplane
000624.png,capybara,airplane
000625.png,capybara,airplane
000626.png,capybara,airplane
000627.png,capybara,airplane
000628.png,capybara,airplane
000629.png,capybara,airplane
000630.png,capybara,airplane
000631.png,capybara,airplane
000632.png,capybara,airplane
000633.png,capybara,airplane
000634.png,frog,car
000635.png,frog,car
000636.png,frog,car
000637.png,frog,car
000638.png,frog,car
000639.png,frog,car
000640.png,frog,car
000641.png,frog,car
000642.png,frog,car
000643.png,frog,car
000644.png,frog,car
000645.png,frog,car
000646.png,frog,car
000647.png,frog,car
000648.png,frog,car
000649.png,frog,car
000650.png,frog,car
000651.png,frog,car
000652.png,frog,car
000653.png,frog,car
000654.png,frog,car
000655.png,frog,car
000656.png,frog,car
000657.png,frog,car
000658.png,frog,car
000659.png,frog,car
000660.png,frog,car
000661.png,frog,car
000662.png,bird,banana
000663.png,elephant,drum
000664.png,elephant,drum
000665.png,elephant,drum
000666.png,bird,chair
000667.png,bird,chair
000668.png,bird,chair
000669.png,bird,chair
000670.png,bird,chair
000671.png,bird,chair
000672.png,bird,chair
000673.png,bird,chair
000674.png,monkey,chair
000675.png,monkey,chair
000676.png,monkey,chair
000677.png,monkey,chair
000678.png,monkey,chair
000679.png,monkey,chair
000680.png,monkey,chair
000681.png,monkey,chair
000682.png,monkey,chair
000683.png,monkey,chair
000684.png,monkey,chair
000685.png,monkey,chair
000686.png,monkey,chair
000687.png,monkey,chair
000688.png,monkey,chair
000689.png,monkey,chair
000690.png,monkey,chair
000691.png,monkey,chair
000692.png,monkey,chair
000693.png,cat,car
000694.png,cat,car
000695.png,cat,car
000696.png,cat,car
000697.png,cat,car
000698.png,cat,car
000699.png,cat,car
000700.png,cat,car
000701.png,cat,car
000702.png,cat,car
000703.png,cat,car
000704.png,cat,car
000705.png,bird,pizza
000706.png,bird,pizza
000707.png,bird,pizza
000708.png,bird,pizza
000709.png,bird,pizza
000710.png,bird,pizza
000711.png,bird,pizza
000712.png,bird,pizza
000713.png,dog,pizza
000714.png,dog,pizza
000715.png,dog,pizza
000716.png,dog,pizza
000717.png,dog,pizza
000718.png,dog,pizza
000719.png,dog,pizza
000720.png,dog,pizza
000721.png,dog,pizza
000722.png,dog,pizza
000723.png,dog,pizza
000724.png,dog,pizza
000725.png,elephant,sneaker
000726.png,elephant,sneaker
000727.png,elephant,sneaker
000728.png,elephant,sneaker
000729.png,elephant,sneaker
000730.png,elephant,sneaker
000731.png,elephant,sneaker
000732.png,elephant,sneaker
000733.png,elephant,sneaker
000734.png,elephant,sneaker
000735.png,elephant,sneaker
000736.png,elephant,sneaker
000737.png,elephant,sneaker
000738.png,elephant,sneaker
000739.png,elephant,sneaker
000740.png,elephant,sneaker
000741.png,elephant,sneaker
000742.png,elephant,sneaker
000743.png,elephant,sneaker
000744.png,elephant,sneaker
000745.png,elephant,drum
000746.png,capybara,sneaker
000747.png,capybara,sneaker
000748.png,capybara,sneaker
000749.png,capybara,sneaker
000750.png,capybara,sneaker
000751.png,capybara,sneaker
000752.png,capybara,sneaker
000753.png,capybara,sneaker
000754.png,capybara,sneaker
000755.png,capybara,sneaker
000756.png,capybara,sneaker
000757.png,fish,drum
000758.png,fish,drum
000759.png,fish,drum
000760.png,fish,drum
000761.png,fish,drum
000762.png,fish,drum
000763.png,fish,drum
000764.png,fish,drum
000765.png,fish,drum
000766.png,fish,drum
000767.png,fish,drum
000768.png,fish,drum
000769.png,fish,drum
000770.png,fish,drum
000771.png,fish,drum
000772.png,fish,drum
000773.png,crocodile,car
000774.png,crocodile,car
000775.png,crocodile,car
000776.png,crocodile,car
000777.png,crocodile,car
000778.png,crocodile,car
000779.png,crocodile,car
000780.png,crocodile,airplane
000781.png,crocodile,airplane
000782.png,crocodile,airplane
000783.png,crocodile,airplane
000784.png,crocodile,airplane
000785.png,crocodile,airplane
000786.png,crocodile,airplane
000787.png,crocodile,airplane
000788.png,crocodile,airplane
000789.png,crocodile,airplane
000790.png,crocodile,airplane
000791.png,crocodile,airplane
000792.png,crocodile,airplane
000793.png,crocodile,airplane
000794.png,crocodile,airplane
000795.png,crocodile,airplane
000796.png,crocodile,airplane
000797.png,crocodile,airplane
000798.png,crocodile,airplane
000799.png,crocodile,airplane
000800.png,crocodile,airplane
000801.png,crocodile,airplane
000802.png,crocodile,airplane
000803.png,crocodile,airplane
000804.png,crocodile,airplane
000805.png,crocodile,airplane
000806.png,crocodile,airplane
000807.png,crocodile,airplane
000808.png,crocodile,airplane
000809.png,crocodile,airplane
000810.png,crocodile,airplane
000811.png,monkey,banana
000812.png,monkey,banana
000813.png,monkey,banana
000814.png,monkey,banana
000815.png,monkey,banana
000816.png,monkey,banana
000817.png,monkey,banana
000818.png,monkey,banana
000819.png,monkey,banana
000820.png,monkey,banana
000821.png,monkey,banana
000822.png,monkey,banana
000823.png,monkey,banana
000824.png,monkey,banana
000825.png,monkey,banana
000826.png,monkey,banana
000827.png,monkey,banana
000828.png,monkey,banana
000829.png,monkey,banana
000830.png,monkey,banana
000831.png,monkey,banana
000832.png,monkey,banana
000833.png,monkey,banana
000834.png,capybara,banana
000835.png,capybara,banana
000836.png,capybara,banana
000837.png,capybara,banana
000838.png,capybara,banana
000839.png,capybara,banana
000840.png,capybara,banana
000841.png,capybara,banana
000842.png,capybara,banana
000843.png,capybara,banana
000844.png,capybara,banana
000845.png,elephant,airplane
000846.png,elephant,airplane
000847.png,elephant,airplane
000848.png,elephant,airplane
000849.png,elephant,airplane
000850.png,elephant,airplane
000851.png,elephant,airplane
000852.png,elephant,airplane
000853.png,elephant,airplane
000854.png,elephant,airplane
000855.png,elephant,airplane
000856.png,elephant,airplane
000857.png,elephant,airplane
000858.png,elephant,airplane
000859.png,elephant,airplane
000860.png,crocodile,car
000861.png,crocodile,car
000862.png,crocodile,car
000863.png,crocodile,car
000864.png,crocodile,car
000865.png,crocodile,car
000866.png,crocodile,car
000867.png,crocodile,car
000868.png,crocodile,car
000869.png,crocodile,car
000870.png,crocodile,car
000871.png,crocodile,car
000872.png,crocodile,car
000873.png,crocodile,car
000874.png,crocodile,car
000875.png,crocodile,car
000876.png,crocodile,car
000877.png,crocodile,car
000878.png,crocodile,car
000879.png,crocodile,car
000880.png,crocodile,car
000881.png,crocodile,car
000882.png,crocodile,car
000883.png,crocodile,car
000884.png,crocodile,car
000885.png,crocodile,car
000886.png,dog,coffee cup
000887.png,dog,coffee cup
000888.png,dog,coffee cup
000889.png,dog,coffee cup
000890.png,dog,coffee cup
000891.png,dog,coffee cup
000892.png,dog,coffee cup
000893.png,dog,coffee cup
000894.png,dog,coffee cup
000895.png,dog,coffee cup
000896.png,dog,coffee cup
000897.png,dog,coffee cup
000898.png,dog,coffee cup
000899.png,elephant,cactus
000900.png,elephant,cactus
000901.png,elephant,cactus
000902.png,elephant,cactus
000903.png,elephant,cactus
000904.png,elephant,cactus
000905.png,elephant,cactus
000906.png,elephant,cactus
000907.png,elephant,cactus
000908.png,elephant,cactus
000909.png,elephant,cactus
000910.png,elephant,cactus
000911.png,elephant,cactus
000912.png,elephant,cactus
000913.png,elephant,cactus
000914.png,dog,pizza
000915.png,dog,pizza
000916.png,dog,pizza
000917.png,dog,pizza
000918.png,monkey,coffee cup
000919.png,monkey,coffee cup
000920.png,monkey,coffee cup
000921.png,monkey,coffee cup
000922.png,monkey,coffee cup
000923.png,monkey,coffee cup
000924.png,monkey,coffee cup
000925.png,monkey,coffee cup
000926.png,monkey,coffee cup
000927.png,monkey,coffee cup
000928.png,monkey,coffee cup
000929.png,monkey,coffee cup
000930.png,monkey,coffee cup
000931.png,monkey,coffee cup
000932.png,monkey,coffee cup
000933.png,monkey,coffee cup
000934.png,monkey,coffee cup
000935.png,monkey,coffee cup
000936.png,monkey,coffee cup
000937.png,monkey,coffee cup
000938.png,cat,chair
000939.png,cat,chair
000940.png,cat,chair
000941.png,cat,chair
000942.png,cat,chair
000943.png,cat,chair
000944.png,cat,chair
000945.png,cat,chair
000946.png,cat,chair
000947.png,cat,chair
000948.png,cat,chair
000949.png,cat,chair
000950.png,shark,pizza
000951.png,shark,pizza
000952.png,shark,pizza
000953.png,shark,pizza
000954.png,shark,pizza
000955.png,shark,pizza
000956.png,shark,pizza
000957.png,shark,pizza
000958.png,shark,pizza
000959.png,shark,pizza
000960.png,shark,pizza
000961.png,shark,pizza
000962.png,shark,pizza
000963.png,shark,pizza
000964.png,capybara,car
000965.png,capybara,car
000966.png,capybara,car
000967.png,capybara,car
000968.png,capybara,car
000969.png,capybara,car
000970.png,capybara,car
000971.png,capybara,car
000972.png,capybara,car
000973.png,capybara,car
000974.png,capybara,car
000975.png,capybara,car
000976.png,capybara,car
000977.png,capybara,car
000978.png,capybara,car
000979.png,capybara,car
000980.png,monkey,airplane
000981.png,monkey,airplane
000982.png,monkey,airplane
000983.png,monkey,airplane
000984.png,monkey,airplane
000985.png,monkey,airplane
000986.png,monkey,airplane
000987.png,monkey,airplane
000988.png,monkey,airplane
000989.png,monkey,airplane
000990.png,monkey,airplane
000991.png,monkey,airplane
000992.png,monkey,airplane
000993.png,monkey,airplane
000994.png,monkey,airplane
000995.png,monkey,airplane
000996.png,monkey,airplane
000997.png,monkey,airplane
000998.png,monkey,airplane
000999.png,monkey,airplane
001000.png,monkey,airplane
001001.png,monkey,airplane
001002.png,monkey,airplane
001003.png,monkey,airplane
001004.png,monkey,airplane
001005.png,monkey,airplane
001006.png,monkey,airplane
001007.png,monkey,airplane
001008.png,elephant,toilet
001009.png,elephant,toilet
001010.png,elephant,toilet
001011.png,elephant,toilet
001012.png,elephant,toilet
001013.png,elephant,toilet
001014.png,elephant,toilet
001015.png,elephant,toilet
001016.png,elephant,toilet
001017.png,elephant,toilet
001018.png,elephant,toilet
001019.png,elephant,toilet
001020.png,elephant,toilet
001021.png,elephant,toilet
001022.png,elephant,toilet
001023.png,fish,cactus
001024.png,fish,cactus
001025.png,fish,cactus
001026.png,fish,cactus
001027.png,monkey,banana
001028.png,monkey,banana
001029.png,monkey,banana
001030.png,monkey,banana
001031.png,monkey,banana
001032.png,monkey,banana
001033.png,monkey,banana
001034.png,monkey,banana
001035.png,monkey,banana
001036.png,monkey,banana
001037.png,monkey,banana
001038.png,monkey,banana
001039.png,monkey,banana
001040.png,monkey,banana
001041.png,monkey,pizza
001042.png,monkey,pizza
001043.png,monkey,pizza
001044.png,monkey,pizza
001045.png,monkey,pizza
001046.png,monkey,pizza
001047.png,monkey,pizza
001048.png,monkey,pizza
001049.png,monkey,pizza
001050.png,monkey,pizza
001051.png,monkey,pizza
001052.png,elephant,drum
001053.png,elephant,drum
001054.png,elephant,drum
001055.png,elephant,drum
001056.png,elephant,drum
001057.png,elephant,drum
001058.png,capybara,drum
001059.png,capybara,drum
001060.png,capybara,drum
001061.png,capybara,drum
001062.png,capybara,drum
001063.png,capybara,drum
001064.png,capybara,drum
001065.png,capybara,drum
001066.png,capybara,drum
001067.png,capybara,drum
001068.png,capybara,drum
001069.png,capybara,drum
001070.png,capybara,drum
001071.png,capybara,drum
001072.png,capybara,drum
001073.png,capybara,drum
001074.png,capybara,drum
001075.png,capybara,drum
001076.png,capybara,drum
001077.png,capybara,drum
001078.png,capybara,drum
001079.png,capybara,drum
001080.png,frog,pizza
001081.png,frog,pizza
001082.png,frog,pizza
001083.png,frog,pizza
001084.png,frog,pizza
001085.png,frog,pizza
001086.png,frog,pizza
001087.png,frog,pizza
001088.png,frog,pizza
001089.png,frog,pizza
001090.png,frog,pizza
001091.png,frog,pizza
001092.png,frog,pizza
001093.png,fish,sneaker
001094.png,fish,sneaker
001095.png,fish,sneaker
001096.png,fish,sneaker
001097.png,fish,sneaker
001098.png,fish,sneaker
001099.png,fish,sneaker
001100.png,fish,sneaker
001101.png,fish,sneaker
001102.png,fish,sneaker
001103.png,fish,sneaker
001104.png,fish,sneaker
001105.png,fish,sneaker
001106.png,fish,sneaker
001107.png,fish,sneaker
001108.png,fish,sneaker
001109.png,fish,sneaker
001110.png,fish,sneaker
001111.png,fish,sneaker
001112.png,fish,sneaker
001113.png,fish,sneaker
001114.png,fish,sneaker
001115.png,fish,sneaker
